,Year,County,Morphine_equ,State,FIPS,Deaths,Year_Changed,Population,Deaths_PC,Morphine_Equivalents_PC
10611,2003.0,KENT,0.0,TX,,0.0,2007,781.0,0.0,0.0
10612,2003.0,KERR,0.0,TX,,0.0,2007,45161.0,0.0,0.0
10583,2003.0,HARTLEY,0.0,TX,,0.0,2007,5509.0,0.0,0.0
10614,2003.0,KING,0.0,TX,,0.0,2007,324.0,0.0,0.0
10582,2003.0,HARRISON,0.0,TX,,0.0,2007,62239.0,0.0,0.0
10580,2003.0,HARDEMAN,0.0,TX,,0.0,2007,4468.0,0.0,0.0
10551,2003.0,DUVAL,0.0,TX,,0.0,2007,12691.0,0.0,0.0
10552,2003.0,EASTLAND,0.0,TX,,0.0,2007,18305.0,0.0,0.0
10553,2003.0,EDWARDS,0.0,TX,,0.0,2007,2038.0,0.0,0.0
10554,2003.0,ELLIS,0.0,TX,,0.0,2007,124795.0,0.0,0.0
10555,2003.0,ERATH,0.0,TX,,0.0,2007,33384.0,0.0,0.0
10556,2003.0,FALLS,0.0,TX,,0.0,2007,17926.0,0.0,0.0
10557,2003.0,FANNIN,0.0,TX,,0.0,2007,32368.0,0.0,0.0
10558,2003.0,FAYETTE,0.0,TX,,0.0,2007,22386.0,0.0,0.0
10559,2003.0,FISHER,0.0,TX,,0.0,2007,4189.0,0.0,0.0
10560,2003.0,FLOYD,0.0,TX,,0.0,2007,7490.0,0.0,0.0
10561,2003.0,FOARD,0.0,TX,,0.0,2007,1549.0,0.0,0.0
10562,2003.0,FRANKLIN,0.0,TX,,0.0,2007,9880.0,0.0,0.0
10563,2003.0,FREESTONE,0.0,TX,,0.0,2007,18536.0,0.0,0.0
10564,2003.0,FRIO,0.0,TX,,0.0,2007,16343.0,0.0,0.0
10565,2003.0,GAINES,0.0,TX,,0.0,2007,14430.0,0.0,0.0
10566,2003.0,GARZA,0.0,TX,,0.0,2007,5039.0,0.0,0.0
10567,2003.0,GILLESPIE,0.0,TX,,0.0,2007,22220.0,0.0,0.0
10568,2003.0,GLASSCOCK,0.0,TX,,0.0,2007,1351.0,0.0,0.0
10569,2003.0,GOLIAD,0.0,TX,,0.0,2007,7150.0,0.0,0.0
10570,2003.0,GONZALES,0.0,TX,,0.0,2007,19019.0,0.0,0.0
10571,2003.0,GRAY,0.0,TX,,0.0,2007,21653.0,0.0,0.0
10572,2003.0,GRAYSON,0.0,TX,,0.0,2007,115024.0,0.0,0.0
10573,2003.0,GREGG,0.0,TX,,0.0,2007,114154.0,0.0,0.0
10574,2003.0,GRIMES,0.0,TX,,0.0,2007,25018.0,0.0,0.0
10575,2003.0,GUADALUPE,0.0,TX,,0.0,2007,96979.0,0.0,0.0
10576,2003.0,HALE,0.0,TX,,0.0,2007,35594.0,0.0,0.0
10577,2003.0,HALL,0.0,TX,,0.0,2007,3762.0,0.0,0.0
10578,2003.0,HAMILTON,0.0,TX,,0.0,2007,8136.0,0.0,0.0
10579,2003.0,HANSFORD,0.0,TX,,0.0,2007,5224.0,0.0,0.0
10581,2003.0,HARDIN,0.0,TX,,0.0,2007,49604.0,0.0,0.0
12193,2003.0,COLQUITT,0.0,GA,,0.0,Control,43211.0,0.0,0.0
12220,2003.0,GORDON,0.0,GA,,0.0,Control,47851.0,0.0,0.0
12222,2003.0,GREENE,0.0,GA,,0.0,Control,15366.0,0.0,0.0
12689,2003.0,HENRY,0.0,AL,,0.0,Control,16471.0,0.0,0.0
12690,2003.0,HOUSTON,0.0,AL,,0.0,Control,91576.0,0.0,0.0
12691,2003.0,JACKSON,0.0,AL,,0.0,Control,53929.0,0.0,0.0
12692,2003.0,LAMAR,0.0,AL,,0.0,Control,15183.0,0.0,0.0
12693,2003.0,LAUDERDALE,0.0,AL,,0.0,Control,87112.0,0.0,0.0
12694,2003.0,LAWRENCE,0.0,AL,,0.0,Control,34529.0,0.0,0.0
12695,2003.0,LEE,0.0,AL,,0.0,Control,119148.0,0.0,0.0
12696,2003.0,LIMESTONE,0.0,AL,,0.0,Control,68255.0,0.0,0.0
