,State,County,FIPS,Year,Population
7704,MS,GRENADA,28043,2008,22194.0
7705,MS,HANCOCK,28045,2008,42764.0
7706,MS,HARRISON,28047,2008,182735.0
7707,MS,HINDS,28049,2008,244695.0
7708,MS,HOLMES,28051,2008,19755.0
7709,MS,HUMPHREYS,28053,2008,9691.0
7710,MS,ISSAQUENA,28055,2008,1521.0
7711,MS,ITAWAMBA,28057,2008,23412.0
7712,MS,JACKSON,28059,2008,137791.0
7713,MS,JASPER,28061,2008,17550.0
7714,MS,JEFFERSON,28063,2008,7927.0
7715,MS,JEFFERSON DAVIS,28065,2008,12636.0
7716,MS,JONES,28067,2008,67318.0
7717,MS,KEMPER,28069,2008,10392.0
7718,MS,LAFAYETTE,28071,2008,45781.0
7719,MS,LAMAR,28073,2008,52772.0
7720,MS,LAUDERDALE,28075,2008,79665.0
7721,MS,LAWRENCE,28077,2008,13038.0
7722,MS,LEAKE,28079,2008,23641.0
7723,MS,LEE,28081,2008,81501.0
7724,MS,LEFLORE,28083,2008,33329.0
7725,MS,LINCOLN,28085,2008,34724.0
7726,MS,LOWNDES,28087,2008,59160.0
7727,MS,MADISON,28089,2008,92274.0
7728,MS,MARION,28091,2008,26825.0
7729,MS,MARSHALL,28093,2008,37351.0
7730,MS,MONROE,28095,2008,37453.0
7731,MS,MONTGOMERY,28097,2008,11067.0
7732,MS,NESHOBA,28099,2008,29562.0
7733,MS,NEWTON,28101,2008,21851.0
7734,MS,NOXUBEE,28103,2008,11823.0
7735,MS,OKTIBBEHA,28105,2008,46470.0
7736,MS,PANOLA,28107,2008,34923.0
7737,MS,PEARL RIVER,28109,2008,56538.0
7738,MS,PERRY,28111,2008,12337.0
7739,MS,PIKE,28113,2008,40290.0
7740,MS,PONTOTOC,28115,2008,29475.0
7741,MS,PRENTISS,28117,2008,25481.0
7742,MS,QUITMAN,28119,2008,8501.0
7743,MS,RANKIN,28121,2008,139136.0
7744,MS,SCOTT,28123,2008,28098.0
7745,MS,SHARKEY,28125,2008,5191.0
7746,MS,SIMPSON,28127,2008,27682.0
7747,MS,SMITH,28129,2008,16345.0
7748,MS,STONE,28131,2008,17084.0
7749,MS,SUNFLOWER,28133,2008,30614.0
7750,MS,TALLAHATCHIE,28135,2008,15225.0
7751,MS,TATE,28137,2008,28222.0
7752,MS,TIPPAH,28139,2008,21982.0
7753,MS,TISHOMINGO,28141,2008,19524.0
7754,MS,TUNICA,28143,2008,10910.0
7755,MS,UNION,28145,2008,26931.0
7756,MS,WALTHALL,28147,2008,15622.0
7757,MS,WARREN,28149,2008,48457.0
7758,MS,WASHINGTON,28151,2008,52236.0
7759,MS,WAYNE,28153,2008,20963.0
7760,MS,WEBSTER,28155,2008,10204.0
7761,MS,WILKINSON,28157,2008,10061.0
7762,MS,WINSTON,28159,2008,19342.0
7763,MS,YALOBUSHA,28161,2008,12857.0
7764,MS,YAZOO,28163,2008,28441.0
7765,MO,ADAIR,29001,2008,25399.0
7766,MO,ANDREW,29003,2008,16924.0
7767,MO,ATCHISON,29005,2008,5798.0
7768,MO,AUDRAIN,29007,2008,25774.0
7769,MO,BARRY,29009,2008,35935.0
7770,MO,BARTON,29011,2008,12589.0
7771,MO,BATES,29013,2008,17194.0
7772,MO,BENTON,29015,2008,19046.0
7773,MO,BOLLINGER,29017,2008,12429.0
7774,MO,BOONE,29019,2008,158089.0
7775,MO,BUCHANAN,29021,2008,88317.0
7776,MO,BUTLER,29023,2008,42351.0
7777,MO,CALDWELL,29025,2008,9359.0
7778,MO,CALLAWAY,29027,2008,43855.0
7779,MO,CAMDEN,29029,2008,43462.0
7780,MO,CAPE GIRARDEAU,29031,2008,74141.0
7781,MO,CARROLL,29033,2008,9451.0
7782,MO,CARTER,29035,2008,6122.0
7783,MO,CASS,29037,2008,98095.0
7784,MO,CEDAR,29039,2008,14120.0
7785,MO,CHARITON,29041,2008,7829.0
7786,MO,CHRISTIAN,29043,2008,74705.0
7787,MO,CLARK,29045,2008,7168.0
7788,MO,CLAY,29047,2008,215142.0
7789,MO,CLINTON,29049,2008,20781.0
7790,MO,COLE,29051,2008,74760.0
7791,MO,COOPER,29053,2008,17502.0
7792,MO,CRAWFORD,29055,2008,24698.0
7793,MO,DADE,29057,2008,7951.0
7794,MO,DALLAS,29059,2008,16955.0
7795,MO,DAVIESS,29061,2008,8330.0
