,Year,FIPS,County,Morphine_equ,State,Deaths,Year_Changed,Population,Deaths_PC
279,2007.0,13267.0,TATTNALL,7540.538364000111,GA,,,23444.0,
280,2007.0,13269.0,TAYLOR,2459.267960362503,GA,,,8868.0,
281,2007.0,13271.0,TELFAIR,5755.37516250002,GA,,,15932.0,
282,2007.0,13273.0,TERRELL,616.7577899999998,GA,,,9701.0,
283,2007.0,13275.0,THOMAS,7479.683753175066,GA,,,44269.0,
284,2007.0,13277.0,TIFT,9289.768154437588,GA,,,39720.0,
285,2007.0,13279.0,TOOMBS,11007.696908362783,GA,,,27185.0,
286,2007.0,13281.0,TOWNS,3295.3671419999987,GA,,,10452.0,
287,2007.0,13283.0,TREUTLEN,1817.7003500000023,GA,,,6773.0,
288,2007.0,13285.0,TROUP,13120.751691612964,GA,,,64894.0,
289,2007.0,13287.0,TURNER,1333.4478750000044,GA,,,9111.0,
290,2007.0,13289.0,TWIGGS,326.6612624999997,GA,,,9545.0,
291,2007.0,13291.0,UNION,6228.169928537559,GA,,,20988.0,
292,2007.0,13293.0,UPSON,8107.533780487591,GA,,,27423.0,
293,2007.0,13295.0,WALKER,18488.20723900032,GA,10.0,,67405.0,0.00014835694681403458
294,2007.0,13297.0,WALTON,24826.740699225695,GA,,,80440.0,
295,2007.0,13299.0,WARE,21528.2284305006,GA,,,36016.0,
296,2007.0,13301.0,WARREN,444.4687874999996,GA,,,5981.0,
297,2007.0,13303.0,WASHINGTON,3490.6905134999824,GA,,,21155.0,
298,2007.0,13305.0,WAYNE,11743.294758000251,GA,,,29421.0,
299,2007.0,13309.0,WHEELER,1708.1338455000007,GA,,,6918.0,
300,2007.0,13311.0,WHITE,6409.6787753125855,GA,,,26173.0,
301,2007.0,13313.0,WHITFIELD,23780.063434088657,GA,,,98654.0,
302,2007.0,13315.0,WILCOX,1585.7818019999972,GA,,,8889.0,
303,2007.0,13317.0,WILKES,2437.956040000003,GA,,,10524.0,
304,2007.0,13319.0,WILKINSON,1842.186262499997,GA,,,9750.0,
305,2007.0,13321.0,WORTH,2869.3343889999987,GA,,,21646.0,
